,ID,Text,Sentiment (Label),Timestamp,User,Source,Topic,Retweets,Likes,Country,Year,Month,Day,Hour,new_sentiment,new_text,Topic1,Topic2
31,33, Enjoying a cup of tea and watching the sunset.     , Positive  ,1/25/2023 18:00, SunsetWatcher, Twitter  ,TeaTime  Sunset                       ,15,30, India    ,2023,1,25,18,Positive,"['enjoying', 'cup', 'tea', 'watching', 'sunset']",TeaTime, Sunset                       
32,34, Coding a new project with enthusiasm.              , Positive  ,1/25/2023 13:15, CodeEnthusiast, Facebook ,Coding  Enthusiasm                   ,30,60, USA ,2023,1,25,13,Positive,"['coding', 'new', 'project', 'enthusiasm']",Coding, Enthusiasm                   
33,35, Feeling inspired after attending a workshop.       , Positive  ,1/26/2023 9:45, WorkshopAttendee, Instagram ,Inspiration  Workshop                  ,25,50,USA,2023,1,26,9,Positive,"['feeling', 'inspired', 'attending', 'workshop']",Inspiration, Workshop                  
34,36, Winter sports day at the local park.               , Positive  ,1/26/2023 14:20, WinterSports  , Twitter  ,WinterSports  Fun                     ,15,30, Canada   ,2023,1,26,14,Positive,"['winter', 'sport', 'day', 'local', 'park']",WinterSports, Fun                     
35,37, Quality time with family this weekend.             , Positive  ,1/26/2023 17:40, FamilyTime   , Facebook ,FamilyTime  Weekend                    ,22,45, UK        ,2023,1,26,17,Positive,"['quality', 'time', 'family', 'weekend']",FamilyTime, Weekend                    
36,38, Attending a live music concert tonight.            , Positive  ,1/27/2023 20:00, MusicLover   , Instagram ,Music  ConcertNight                  ,18,35, USA ,2023,1,27,20,Positive,"['attending', 'live', 'music', 'concert', 'tonight']",Music, ConcertNight                  
37,39, Practicing mindfulness with meditation.            , Positive  ,1/27/2023 12:30, MindfulMoments, Twitter  ,Mindfulness  Meditation               ,15,30, India    ,2023,1,27,12,Positive,"['practicing', 'mindfulness', 'meditation']",Mindfulness, Meditation               
38,40, Trying out a new dessert recipe.                   , Positive  ,1/27/2023 16:10, DessertExplorer, Facebook ,Dessert  Cooking                      ,12,25, Canada ,2023,1,27,16,Positive,"['trying', 'new', 'dessert', 'recipe']",Dessert, Cooking                      
39,41, Excited about the upcoming gaming tournament.      , Positive  ,1/28/2023 9:00, GamingEnthusiast, Instagram ,Gaming  Tournament                     ,30,60,USA,2023,1,28,9,Positive,"['excited', 'upcoming', 'gaming', 'tournament']",Gaming, Tournament                     
40,42, Planning a garden makeover for spring.             , Positive  ,1/28/2023 14:45, GardenPlanner , Twitter  ,Gardening  Spring                     ,25,50, USA      ,2023,1,28,14,Positive,"['planning', 'garden', 'makeover', 'spring']",Gardening, Spring                     
41,43, Celebrating a friend's birthday tonight! 🎂       , Positive  ,1/28/2023 19:30, BirthdayBash , Facebook ,Birthday  Celebration                  ,15,30, UK ,2023,1,28,19,Positive,"['celebrating', 'friend', 'birthday', 'tonight']",Birthday, Celebration                  
42,44, Feeling accomplished after a productive day.       , Positive  ,1/29/2023 17:00, ProductivityWin, Instagram ,Accomplished  Success               ,22,45, India ,2023,1,29,17,Positive,"['feeling', 'accomplished', 'productive', 'day']",Accomplished, Success               
43,45, A cozy evening with a good movie.                 , Positive  ,1/29/2023 20:20, MovieNight   , Twitter  ,CozyNight  MovieTime                   ,18,35, Canada   ,2023,1,29,20,Positive,"['cozy', 'evening', 'good', 'movie']",CozyNight, MovieTime                   
44,46, Exploring local art galleries this weekend.        , Positive  ,1/30/2023 11:30, ArtExplorer  , Facebook ,Art  GalleryExplore                    ,15,30, USA      ,2023,1,30,11,Positive,"['exploring', 'local', 'art', 'gallery', 'weekend']",Art, GalleryExplore                    
45,47, New book release from my favorite author!          , Positive  ,1/30/2023 15:45, BookwormX    , Instagram ,BookRelease  FavoriteAuthor           ,12,25, UK   ,2023,1,30,15,Positive,"['new', 'book', 'release', 'favorite', 'author']",BookRelease, FavoriteAuthor           
46,48, Attending a virtual reality meetup.                , Positive  ,1/30/2023 18:30, VRMeetup     , Twitter  ,VRMeetup  VirtualReality               ,28,55, India    ,2023,1,30,18,Positive,"['attending', 'virtual', 'reality', 'meetup']",VRMeetup, VirtualReality               
47,49, Reflecting on the beauty of nature.                , Positive  ,1/31/2023 10:45, NatureLover  , Facebook ,Nature  Reflection                     ,15,30, Australia ,2023,1,31,10,Positive,"['reflecting', 'beauty', 'nature']",Nature, Reflection                     
48,50, Cooking a special dinner for loved ones.           , Positive  ,1/31/2023 19:00, ChefAtHome   , Instagram ,Cooking  SpecialDinner                ,20,40, USA       ,2023,1,31,19,Positive,"['cooking', 'special', 'dinner', 'loved', 'one']",Cooking, SpecialDinner                
49,51, Feeling optimistic about the week ahead.           , Positive  ,1/31/2023 16:20, OptimisticMindset, Twitter  ,Optimism  NewWeek                     ,15,30, Canada   ,2023,1,31,16,Positive,"['feeling', 'optimistic', 'week', 'ahead']",Optimism, NewWeek                     
50,52, Starting a new fitness challenge tomorrow! 💪     , Positive  ,2/1/2023 8:00, FitnessChallenge, Facebook ,FitnessChallenge  NewBeginnings       ,22,45, UK         ,2023,2,1,8,Positive,"['starting', 'new', 'fitness', 'challenge', 'tomorrow']",FitnessChallenge, NewBeginnings       
51,53, Sunday bike ride through scenic trails.           , Positive  ,2/1/2023 13:30, BikeExplorer  , Instagram ,BikeRide  ScenicTrails                ,18,35, USA     ,2023,2,1,13,Positive,"['sunday', 'bike', 'ride', 'scenic', 'trail']",BikeRide, ScenicTrails                
52,55, Can't believe the injustice happening in our society., Anger        ,2/11/2023 9:30, SocialJustice   , Twitter  ,Injustice  Angry                            ,20,40, Canada     ,2023,2,11,9,Negative,"['cant', 'believe', 'injustice', 'happening', 'society']",Injustice, Angry                            
53,56, Feeling a sense of fear after watching a thriller movie. , Fear         ,2/11/2023 21:15, ThrillerFan     , Instagram ,Fear  ThrillerMovie                         ,15,30, USA          ,2023,2,11,21,Negative,"['feeling', 'sense', 'fear', 'watching', 'thriller', 'movie']",Fear, ThrillerMovie                         
54,57, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2/12/2023 14:45, EmpathyFirst    , Facebook ,Sadness  NaturalDisaster                    ,25,50, India      ,2023,2,12,14,Negative,"['heartbroken', 'hearing', 'news', 'natural', 'disaster']",Sadness, NaturalDisaster                    
55,58, The state of the world's environment is just disgusting. , Disgust      ,2/12/2023 18:20, EcoAwareness    , Twitter  ,Disgust  Environment                        ,18,35, UK         ,2023,2,12,18,Negative,"['state', 'world', 'environment', 'disgusting']",Disgust, Environment                        
56,59, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2/13/2023 10:00, ProudFriend     , Instagram ,Happiness  Celebration                   ,30,60, USA ,2023,2,13,10,Positive,"['pure', 'happiness', 'celebrating', 'loved', 'one', 'achievement']",Happiness, Celebration                   
57,60, Laughter is the best medicine—enjoying a comedy show. , Joy          ,2/13/2023 19:30, ComedyFan       , Facebook ,Joy  ComedyShow                             ,22,45, Canada    ,2023,2,13,19,Positive,"['laughter', 'best', 'medicineenjoying', 'comedy', 'show']",Joy, ComedyShow                             
58,61, Sharing love and positive vibes with everyone! ❤️      , Love         ,2/14/2023 8:30, LoveSpreader    , Twitter  ,Love  SpreadLove                            ,15,30, Australia  ,2023,2,14,8,Positive,"['sharing', 'love', 'positive', 'vibe', 'everyone']",Love, SpreadLove                            
59,62, An amusing incident brightened up my day!               , Amusement    ,2/14/2023 14:20, AmusedSoul      , Instagram ,Amusement  FunTimes                         ,18,35, UK           ,2023,2,14,14,Positive,"['amusing', 'incident', 'brightened', 'day']",Amusement, FunTimes                         
60,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2/14/2023 19:45, BookLoverAgain  , Facebook ,Enjoyment  BookTime                         ,25,50, Canada       ,2023,2,14,19,Positive,"['enjoying', 'quiet', 'evening', 'book', 'tea']",Enjoyment, BookTime                         
61,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2/15/2023 11:30, NatureAdmirer   , Twitter  ,Admiration  Nature                         ,20,40, USA       ,2023,2,15,11,Positive,"['admiring', 'beauty', 'nature', 'peaceful', 'hike']",Admiration, Nature                         
62,65, Sending affectionate vibes to all my followers!          , Affection    ,2/15/2023 16:00, AffectionSender , Instagram ,Affection  PositiveVibes                   ,15,30,USA,2023,2,15,16,Positive,"['sending', 'affectionate', 'vibe', 'follower']",Affection, PositiveVibes                   
63,66, Experiencing awe at the breathtaking sunset.            , Awe          ,2/15/2023 20:30, AweStruck       , Facebook ,Awe  Breathtaking                          ,22,45, Australia   ,2023,2,15,20,Neutral,"['experiencing', 'awe', 'breathtaking', 'sunset']",Awe, Breathtaking                          
64,67, Disappointed with the service at a local restaurant.    , Disappointed ,2/16/2023 9:00, FoodieGoneWrong , Twitter  ,Disappointed  BadService                   ,18,35, India      ,2023,2,16,9,Negative,"['disappointed', 'service', 'local', 'restaurant']",Disappointed, BadService                   
65,68, A surprise gift from a friend made my day!              , Surprise     ,2/16/2023 14:45, HappySurprise   , Instagram ,Surprise  Gift                              ,25,50, USA          ,2023,2,16,14,Positive,"['surprise', 'gift', 'friend', 'made', 'day']",Surprise, Gift                              
66,69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2/16/2023 18:20, AcceptanceSeeker, Facebook ,Acceptance  Challenges                     ,15,30, Canada     ,2023,2,16,18,Positive,"['finding', 'acceptance', 'midst', 'life', 'challenge']",Acceptance, Challenges                     
67,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2/17/2023 10:45, PetAdorer       , Twitter  ,Adoration  PetLove                         ,22,45, UK        ,2023,2,17,10,Positive,"['overflowing', 'adoration', 'adorable', 'pet']",Adoration, PetLove                         
68,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2/17/2023 7:30, AdventureAwaits  , Instagram ,Anticipation  Adventure                    ,20,40,USA,2023,2,17,7,Positive,"['anticipating', 'thrilling', 'adventure', 'coming', 'week']",Anticipation, Adventure                    
69,72, A bitter experience turned into a valuable lesson.      , Bitter       ,2/17/2023 15:00, LearnFromBitter , Facebook ,BitterLesson  Growth                      ,18,35, USA       ,2023,2,17,15,Negative,"['bitter', 'experience', 'turned', 'valuable', 'lesson']",BitterLesson, Growth                      
70,73, Finding calmness in the midst of a busy day.            , Calmness     ,2/18/2023 9:30, ZenMaster       , Twitter  ,Calmness  PeacefulMind                    ,15,30, India     ,2023,2,18,9,Positive,"['finding', 'calmness', 'midst', 'busy', 'day']",Calmness, PeacefulMind                    
71,74, Confusion clouds my mind as I navigate through decisions., Confusion    ,2/18/2023 14:20, ConfusedMind    , Instagram ,Confusion  DecisionMaking                 ,25,50, UK   ,2023,2,18,14,Negative,"['confusion', 'cloud', 'mind', 'navigate', 'decision']",Confusion, DecisionMaking                 
72,75, Excitement building up for the upcoming vacation!       , Excitement   ,2/18/2023 18:45, VacationDreamer , Facebook ,Excitement  TravelPlans                   ,22,45, Canada    ,2023,2,18,18,Positive,"['excitement', 'building', 'upcoming', 'vacation']",Excitement, TravelPlans                   
73,76, Kindness witnessed today restored my faith in humanity. , Kind         ,2/19/2023 11:30, KindnessPrevails, Twitter  ,Kindness  Humanity                        ,20,40, USA       ,2023,2,19,11,Positive,"['kindness', 'witnessed', 'today', 'restored', 'faith', 'humanity']",Kindness, Humanity                        
74,77, Pride in achieving a personal milestone.               , Pride        ,2/19/2023 16:00, PersonalAchiever, Instagram ,Pride  Milestone                           ,30,60, Australia    ,2023,2,19,16,Positive,"['pride', 'achieving', 'personal', 'milestone']",Pride, Milestone                           
75,78, A moment of shame for not standing up against injustice. , Shame        ,2/19/2023 19:45, ReflectiveSelf  , Facebook ,Shame  Injustice                           ,15,30, India      ,2023,2,19,19,Negative,"['moment', 'shame', 'standing', 'injustice']",Shame, Injustice                           
76,79, Fuming with anger after a heated argument.            , Anger        ,2/20/2023 9:30, AngryDebater    , Twitter  ,Anger  Argument                             ,20,40, Canada     ,2023,2,20,9,Negative,"['fuming', 'anger', 'heated', 'argument']",Anger, Argument                             
77,80, The fear of the unknown is keeping me up at night.    , Fear         ,2/20/2023 21:15, FearfulDreamer  , Instagram ,Fear  Unknown                               ,15,30, USA          ,2023,2,20,21,Negative,"['fear', 'unknown', 'keeping', 'night']",Fear, Unknown                               
78,81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2/21/2023 14:45, FarewellHeart   , Facebook ,Sadness  Farewell                          ,25,50, India      ,2023,2,21,14,Negative,"['heartfelt', 'sadness', 'bidding', 'farewell', 'dear', 'friend']",Sadness, Farewell                          
79,82, The state of corruption in our society is utterly disgusting. , Disgust      ,2/21/2023 18:20, AntiCorruption  , Twitter  ,Disgust  Corruption                         ,18,35, UK         ,2023,2,21,18,Negative,"['state', 'corruption', 'society', 'utterly', 'disgusting']",Disgust, Corruption                         
80,83, Overflowing happiness: welcoming a new family member!  , Happiness    ,2/22/2023 10:00, NewParentJoy    , Instagram ,Happiness  NewFamilyMember                 ,30,60, UK           ,2023,2,22,10,Positive,"['overflowing', 'happiness', 'welcoming', 'new', 'family', 'member']",Happiness, NewFamilyMember                 
81,84, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2/22/2023 19:30, StandUpFan      , Facebook ,Joy  StandUpComedy                         ,22,45, Canada    ,2023,2,22,19,Positive,"['laughter', 'key', 'joyattending', 'standup', 'comedy', 'show']",Joy, StandUpComedy                         
82,85, Sending love to all my followers on this beautiful day! ❤️ , Love         ,2/23/2023 8:30, LoveSender      , Twitter  ,Love  SpreadLove                            ,15,30, Australia  ,2023,2,23,8,Positive,"['sending', 'love', 'follower', 'beautiful', 'day']",Love, SpreadLove                            
83,86, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2/23/2023 14:20, PetAmuser       , Instagram ,Amusement  PetAntics                       ,18,35, UK           ,2023,2,23,14,Positive,"['amused', 'antic', 'petits', 'pure', 'amusement']",Amusement, PetAntics                       
84,87, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2/23/2023 19:45, TravelExplorer  , Facebook ,Enjoyment  Travel                           ,25,50, USA ,2023,2,23,19,Positive,"['enjoying', 'every', 'moment', 'trippure', 'enjoyment']",Enjoyment, Travel                           
85,88, Admiring the dedication of volunteers at a local charity. , Admiration   ,2/24/2023 11:30, CharityAdmirer  , Twitter  ,Admiration  Volunteers                     ,20,40, USA        ,2023,2,24,11,Positive,"['admiring', 'dedication', 'volunteer', 'local', 'charity']",Admiration, Volunteers                     
86,89, Sending affectionate vibes to friends and family.        , Affection    ,2/24/2023 16:00, FamilyLover     , Instagram ,Affection  FamilyLove                      ,15,30,USA,2023,2,24,16,Positive,"['sending', 'affectionate', 'vibe', 'friend', 'family']",Affection, FamilyLove                      
87,90, Awe-struck by the beauty of the night sky.               , Awe          ,2/24/2023 20:30, Stargazer       , Facebook ,Awe  StarryNight                        ,22,45, Australia ,2023,2,24,20,Neutral,"['awestruck', 'beauty', 'night', 'sky']",Awe, StarryNight                        
88,91, Disappointed with the lack of progress in a personal project. , Disappointed ,2/25/2023 9:00, ProjectStruggle , Twitter  ,Disappointed  Project                     ,18,35, India      ,2023,2,25,9,Negative,"['disappointed', 'lack', 'progress', 'personal', 'project']",Disappointed, Project                     
89,92, A surprise visit from an old friend brought tears of joy. , Surprise     ,2/25/2023 14:45, JoyfulReunion   , Instagram ,Surprise  OldFriends                       ,25,50, USA          ,2023,2,25,14,Positive,"['surprise', 'visit', 'old', 'friend', 'brought', 'tear', 'joy']",Surprise, OldFriends                       
90,93, Embracing acceptance of life's ups and downs.           , Acceptance   ,2/25/2023 18:20, LifeAcceptance  , Facebook ,Acceptance  LifeJourney                   ,15,30, Canada     ,2023,2,25,18,Positive,"['embracing', 'acceptance', 'life', 'ups', 'down']",Acceptance, LifeJourney                   
91,94, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,2/26/2023 10:45, PuppyAdmirer    , Twitter  ,Adoration  PuppyLove                       ,22,45, UK         ,2023,2,26,10,Positive,"['overflowing', 'adoration', 'cute', 'rescue', 'puppy']",Adoration, PuppyLove                       
92,95, Anticipating the release of a much-awaited movie.       , Anticipation ,2/26/2023 7:30, MovieBuff2      , Instagram ,Anticipation  MovieRelease                 ,20,40, Australia    ,2023,2,26,7,Positive,"['anticipating', 'release', 'muchawaited', 'movie']",Anticipation, MovieRelease                 
93,96, Bitter experience at the customer service department.   , Bitter       ,2/26/2023 15:00, CustomerWoes    , Facebook ,BitterExperience  CustomerService         ,18,35, USA       ,2023,2,26,15,Negative,"['bitter', 'experience', 'customer', 'service', 'department']",BitterExperience, CustomerService         
94,97, Finding calmness amidst the chaos of daily life.        , Calmness     ,2/27/2023 9:30, CalmSoul        , Twitter  ,Calmness  InnerPeace                      ,15,30, India     ,2023,2,27,9,Positive,"['finding', 'calmness', 'amidst', 'chaos', 'daily', 'life']",Calmness, InnerPeace                      
95,98, Confusion reigns as I try to make sense of recent events., Confusion    ,2/27/2023 14:20, ConfusedMind2   , Instagram ,Confusion  MakingSense                    ,25,50, UK   ,2023,2,27,14,Negative,"['confusion', 'reign', 'try', 'make', 'sense', 'recent', 'event']",Confusion, MakingSense                    
96,99, Excitement building up for a surprise birthday party.   , Excitement   ,2/27/2023 18:45, BirthdayExcite  , Facebook ,Excitement  SurpriseParty                 ,22,45, Canada ,2023,2,27,18,Positive,"['excitement', 'building', 'surprise', 'birthday', 'party']",Excitement, SurpriseParty                 
97,100, Witnessed an act of kindness that made my day.          , Kind         ,2/28/2023 11:30, KindnessObserver, Twitter  ,Kindness  ActsOfKindness                  ,20,40, USA       ,2023,2,28,11,Positive,"['witnessed', 'act', 'kindness', 'made', 'day']",Kindness, ActsOfKindness                  
98,101, Pride in completing a challenging fitness challenge.    , Pride        ,2/28/2023 16:00, FitAchiever     , Instagram ,Pride  FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16,Positive,"['pride', 'completing', 'challenging', 'fitness', 'challenge']",Pride, FitnessChallengeCompleted          
99,102, A moment of shame for not speaking up against injustice., Shame        ,2/28/2023 19:45, ReflectiveSelf2 , Facebook ,Shame  Injustice                           ,15,30, India     ,2023,2,28,19,Negative,"['moment', 'shame', 'speaking', 'injustice']",Shame, Injustice                           
100,103, Reflecting on the beauty of diversity in our world.     , Acceptance   ,3/1/2023 10:45, DiversityLover  , Twitter  ,Acceptance  Diversity                      ,22,45, Australia ,2023,3,1,10,Positive,"['reflecting', 'beauty', 'diversity', 'world']",Acceptance, Diversity                      
101,104, Excitement for a quiet evening with a good book.        , Excitement   ,3/1/2023 13:30, BookwormJoy     , Instagram ,Excitement  BookTime                       ,18,35, USA          ,2023,3,1,13,Positive,"['excitement', 'quiet', 'evening', 'good', 'book']",Excitement, BookTime                       
102,105, Feeling bitter about the unfairness in the workplace.   , Bitter       ,3/1/2023 17:45, WorkplaceWoes   , Twitter  ,Bitter  Unfairness                         ,15,30, Canada    ,2023,3,1,17,Negative,"['feeling', 'bitter', 'unfairness', 'workplace']",Bitter, Unfairness                         
103,106, Calmness prevails as I practice mindfulness.            , Calmness     ,3/2/2023 18:00, MindfulMe       , Facebook ,Calmness  Mindfulness                      ,15,30, UK        ,2023,3,2,18,Positive,"['calmness', 'prevails', 'practice', 'mindfulness']",Calmness, Mindfulness                      
104,107, Confusion surrounds me as I navigate through life's choices. , Confusion ,3/2/2023 13:15, ConfusedMind3   , Instagram ,Confusion  LifeChoices                     ,30,60, USA   ,2023,3,2,13,Negative,"['confusion', 'surround', 'navigate', 'life', 'choice']",Confusion, LifeChoices                     
105,108, Excitement for a weekend road trip to explore new places. , Excitement ,3/2/2023 16:45, RoadTripper2    , Twitter  ,Excitement  WeekendAdventure               ,25,50, India     ,2023,3,2,16,Positive,"['excitement', 'weekend', 'road', 'trip', 'explore', 'new', 'place']",Excitement, WeekendAdventure               
106,109, Kindness witnessed today restores my faith in humanity.  , Kind         ,3/3/2023 11:30, KindnessPrevails2, Facebook ,Kindness  HumanityRestored                 ,22,45, USA       ,2023,3,3,11,Positive,"['kindness', 'witnessed', 'today', 'restores', 'faith', 'humanity']",Kindness, HumanityRestored                 
